county,population,num_stations,predicted_demand,investment_tier
Kiambu,1706285,1,0.4632583710608324,TIER 4: Monitor for Future
Kajiado,622622,0,0.22734346821859577,TIER 4: Monitor for Future
Uasin Gishu,510205,0,0.1696113243937808,TIER 4: Monitor for Future
Kisumu,440906,1,0.16216485887359436,TIER 4: Monitor for Future
Machakos,414078,1,0.15250605066754142,TIER 4: Monitor for Future
Kilifi,393888,0,0.1483159511553897,TIER 4: Monitor for Future
Mandera,270467,0,0.11063544232027148,TIER 4: Monitor for Future
Garissa,210890,0,0.08117151523697308,TIER 4: Monitor for Future
Bungoma,190112,0,0.07936730790979214,TIER 4: Monitor for Future
Kakamega,185340,0,0.07936730790979214,TIER 4: Monitor for Future
Trans Nzoia,178734,0,0.07683748239867215,TIER 4: Monitor for Future
Wajir,177174,0,0.07629276548325174,TIER 4: Monitor for Future
Migori,167200,0,0.07093904360664541,TIER 4: Monitor for Future
Kisii,151410,0,0.0635632701192771,TIER 4: Monitor for Future
Nyeri,150755,0,0.062343809978435596,TIER 4: Monitor for Future
